coreId,date,year,lengthLW,widthLW,apexLW,posteriorSpotLW,anteriorSpotLW,interspotLW,lengthRW,widthRW,apexRW,posteriorSpotRW,anteriorSpotRW,interspotRW,sex,latitude,longitude
b2e83c01-ff05-48d6-a50f-0c36c1edc6a5,1969-08-07,1969,25.619999999999997,15.27,2.23,0.3,0.38,A,26,14.86,2.2,0.28,0.37,A,female,45.5976,-123.94597
c6334939-b06f-43ad-8c25-afa82b2b51ee,1965-06-22,1965,23.740000000000002,13.72,2.08,0.37,0.3,A,0,0,0,0,0,NA,female,48.831389,-123.767778
b37a63ce-9410-48de-8bc2-943adb90ecfb,1966-05-05,1966,22.46,13.65,1,0.4,0.24,A,23.94,13.84,1.21,0.44999999999999996,0.26,A,female,48.831389,-123.767778
93808e0c-0d94-4557-9f17-752acf9933f4,1966-06-26,1966,25.689999999999998,13.680000000000001,0.18,0.14,0.3,A,25.419999999999998,14.21,0.21999999999999997,0.16,0.33,A,female,48.857681,-123.761817
cd769678-3e07-4c5a-a648-01c6aa048780,1966-04-19,1966,25.33,13.67,1.26,0,0.12,A,25.51,13.43,1.59,0,0.13,A,male,48.857681,-123.761817
84de2d79-60fd-40e9-b2f9-d18e70e6cc28,1966-07-21,1966,26.75,14.78,1.53,0,0.24,A,25.779999999999998,14.790000000000001,1.35,0,0.28,A,male,48.654711,-123.725534
d185e079-2f88-4ece-89be-cf2e3fd4ee7e,1966-07-21,1966,25.910000000000004,13.700000000000001,1.3800000000000001,0,0.1,P,25.44,14.42,1.21,0,0.1,A,male,48.654711,-123.725534
30aa5bc4-18d7-4923-9c78-be5816aa597c,1966-08-26,1966,25.09,13.64,1.7000000000000002,0.48,0.47,A,25.23,13.870000000000001,1.8199999999999998,0.43999999999999995,0.44999999999999996,A,female,48.997539,-123.680847
999db568-4310-4c0c-b45d-52ade6cf7755,1967-07-26,1967,27.68,15.57,1.23,0.8300000000000001,0.48,P,26.83,15.18,1.06,0.76,0.45999999999999996,P,female,48.997539,-123.680847
8ec5250d-2fb0-430c-b412-add854fec9b7,1966-04-04,1966,25.270000000000003,14.02,1.6400000000000001,0.48,0.43999999999999995,A,25.259999999999998,13.007,1.3900000000000001,0.42999999999999994,0.45999999999999996,A,female,48.997539,-123.680847
f4071536-32cc-4385-97c4-61ab055e4657,1967-09-16,1967,26.21,14.64,2.23,0,0.28,A,26.490000000000002,14.27,2.16,0,0.21999999999999997,A,male,48.997539,-123.680847
c3142f40-a4c7-4851-a546-3350855d4d12,1965-09-07,1965,24.14,12.969999999999999,1.19,0.32,0.39,A,23.97,13.129999999999999,0.39,1.46,0.34,A,female,48.997539,-123.680847
bce38221-e8ab-4afd-a8b2-134e9f5aaf56,1967-08-27,1967,24.759999999999998,14.21,1.7000000000000002,0.35000000000000003,0.4,A,24.48,13.93,1.6,0.35000000000000003,0.38,A,female,48.997539,-123.680847
22d0a245-f450-4c53-8d22-e3e890a17e50,1966-08-26,1966,23.04,13.19,2.8000000000000003,0.34,0.44999999999999996,A,22.43,13.11,2.49,0.35000000000000003,0.45999999999999996,A,female,48.997539,-123.680847
10686e8d-7cb1-490d-925c-46429a9ccd05,1966-09-06,1966,24.39,13.580000000000002,1.43,0,0.28,P,24.42,13.4,1.7999999999999998,0,0.26,A,male,48.997539,-123.680847
622e3d4e-05ad-4791-ac0a-c7edb532b4d5,1966-08-17,1966,28.75,15.95,0.53,0.7000000000000001,0.62,P,28.57,16.7,0.78,0.55,0.6,P,female,48.997539,-123.680847
bc05cf5f-8467-4a3a-bc48-cf9fb81371b3,1966-09-06,1966,22.56,12.53,1.6300000000000001,0.22999999999999998,0.35000000000000003,A,22.34,12.889999999999999,1.6600000000000001,0.21999999999999997,0.35000000000000003,A,female,48.997539,-123.680847
fe117686-087a-403b-8a16-06fbc28a27e3,1967-08-26,1967,27.43,15.24,2.7800000000000002,0,0.29000000000000004,P,27.509999999999998,15.440000000000001,2.8000000000000003,0,0.28,P,male,48.997539,-123.680847
d016c93a-7a22-4006-8274-57db08598200,1967-08-27,1967,24.169999999999998,13.65,1.81,0.28,0.44999999999999996,A,24.119999999999997,13.48,1.79,0.28,0.42000000000000004,A,female,48.997539,-123.680847
c595e524-ccec-44b1-a567-37755cd2ac6e,1966-09-05,1966,26.9,14.32,1.6,0,0.33,P,26.549999999999997,14.84,1.41,0,0.32,P,male,48.997539,-123.680847
fb9c1625-0da1-4257-a054-24264fa6c6be,1966-09-06,1966,25.86,14.55,1.28,0,0.27,P,25.990000000000002,14.5,1.24,0,0.25,P,male,48.997539,-123.680847
136e6bd5-28b4-4fbb-9d61-ae8a595d23c1,1967-09-07,1967,23.04,12.79,1.77,0,0.14,A,23.01,12.76,1.73,0,0.15,A,male,48.997539,-123.680847
2268fc6d-5c9d-4c99-9201-bbef876443a9,1967-08-27,1967,26.33,15.309999999999999,2.6900000000000004,0.48,0.56,A,26.54,15.18,2.75,0.5,0.5700000000000001,A,female,48.997539,-123.680847
5571a9ee-d6c4-479d-b7e5-1324aa5a65a3,1967-08-26,1967,27.189999999999998,15.169999999999998,2.6500000000000004,0.38,0.5,A,27.07,14.21,2.42,0.36,0.49,A,female,48.997539,-123.680847
e96489f4-f495-4c3d-8ec8-fce698cc65f4,1966-08-17,1966,28.479999999999997,16,1.6600000000000001,0,0.15,P,28.4,15.34,1.61,0,0.18,P,male,48.997539,-123.680847
7e609eee-c1cd-4d2f-9cc5-a139d38d015d,1966-08-26,1966,27.330000000000002,15.38,2,0,0.42000000000000004,P,27.11,15.88,2.11,0,0.43999999999999995,P,male,48.997539,-123.680847
8256f2a9-6da6-434e-aaef-201b98e535c9,1966-08-27,1966,25.619999999999997,15.169999999999998,2.07,0.42000000000000004,0.59,A,25.73,15.209999999999999,2.05,0.4,0.6,A,female,48.997539,-123.680847
9bd5c582-f360-4e9e-853a-a73c137df1b5,1967-08-27,1967,23.79,13.07,1.81,0.33,0.38,A,23.450000000000003,12.46,1.79,0.29000000000000004,0.38,A,female,48.997539,-123.680847
5592136d-5d71-4ed9-bbee-60db0b184f9f,1965-05-14,1965,23.1,12.86,1.58,0.24,0.26,A,23.279999999999998,12.989999999999998,1.6,0.27,0.27,A,female,48.997539,-123.680847
0287bc0d-88df-4985-92ee-e099d84d2feb,1967-09-16,1967,24.75,13.85,2.11,0.34,0.42999999999999994,A,25.08,14.459999999999999,2.06,0.35000000000000003,0.42000000000000004,A,female,48.997539,-123.680847
